ocorrencia_cidade,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_classificacao
CAMPINAS,Unkown,2011-01-10,16:35:00,INCIDENTE
MARÍLIA,SBML,2011-01-11,09:10:00,INCIDENTE
ITIRAPINA,Unkown,2011-01-14,21:00:00,INCIDENTE
CAMPINAS,SBKP,2011-01-20,14:23:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2011-01-21,21:38:00,INCIDENTE
GUARULHOS,Unkown,2011-01-27,17:00:00,INCIDENTE
GUARULHOS,SBGR,2011-02-08,17:44:00,INCIDENTE
CAMPINAS,Unkown,2011-02-13,22:33:00,INCIDENTE
ITAPEVI,Unkown,2011-02-16,17:50:00,INCIDENTE
ARAÇATUBA,SBAU,2011-02-17,16:20:00,INCIDENTE
ARARAS,SDAA,2011-02-19,12:40:00,INCIDENTE GRAVE
BRAGANÇA PAULISTA,SBBP,2011-02-21,12:20:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2011-02-27,19:00:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2011-02-28,12:20:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2011-03-02,18:51:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2011-03-03,15:22:00,INCIDENTE
SÃO PAULO,Unkown,2011-03-06,19:40:00,INCIDENTE
GUARULHOS,SBGR,2011-03-11,17:02:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2011-03-15,02:18:00,INCIDENTE
GUARULHOS,SBGR,2011-03-20,21:05:00,INCIDENTE
SOROCABA,Unkown,2011-03-22,10:55:00,INCIDENTE
SÃO PAULO,SBSP,2011-03-25,23:43:00,INCIDENTE
JUNDIAÍ,Unkown,2011-03-27,12:37:00,INCIDENTE
SÃO PAULO,SBSP,2011-03-28,23:30:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2011-03-30,02:18:00,INCIDENTE
ARAÇATUBA,Unkown,2011-04-04,11:54:00,INCIDENTE
GUARULHOS,SBGR,2011-04-05,19:58:00,INCIDENTE
SÃO PAULO,Unkown,2011-04-12,23:45:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2011-04-14,16:10:00,INCIDENTE
ITIRAPINA,SDJA,2011-04-14,03:00:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2011-04-18,17:01:00,INCIDENTE
SÃO PAULO,Unkown,2011-04-26,22:58:00,INCIDENTE
SÃO PAULO,Unkown,2011-05-03,18:40:00,INCIDENTE
SÃO PAULO,SBMT,2011-05-04,15:10:00,INCIDENTE
JUNDIAÍ,Unkown,2011-05-06,05:30:00,INCIDENTE
SÃO PAULO,Unkown,2011-05-12,02:30:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2011-05-15,13:12:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2011-05-16,10:43:00,INCIDENTE
GUARULHOS,Unkown,2011-06-03,18:27:00,INCIDENTE
AMERICANA,Unkown,2011-06-04,14:00:00,INCIDENTE GRAVE
ITIRAPINA,SDJA,2011-06-17,12:00:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2011-06-18,20:16:00,INCIDENTE
SÃO PAULO,SBMT,2011-06-28,16:20:00,INCIDENTE
GUARULHOS,SBGR,2011-06-30,15:40:00,INCIDENTE
SÃO PAULO,Unkown,2011-07-01,19:35:00,INCIDENTE
GUARULHOS,SBGR,2011-07-08,22:35:00,INCIDENTE
GUARULHOS,SBGR,2011-07-14,11:07:00,INCIDENTE
GUARULHOS,Unkown,2011-07-20,03:00:00,INCIDENTE
SÃO PAULO,Unkown,2011-08-02,20:00:00,INCIDENTE
JUNDIAÍ,SBJD,2011-08-05,23:55:00,INCIDENTE
SOROCABA,Unkown,2011-08-05,18:30:00,INCIDENTE
SOROCABA,Unkown,2011-08-06,19:40:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,Unkown,2011-08-09,20:00:00,INCIDENTE
SÃO PAULO,Unkown,2011-08-15,14:40:00,INCIDENTE
SÃO PAULO,SBSP,2011-08-22,14:39:00,INCIDENTE
SÃO PAULO,SBMT,2011-08-25,23:04:00,INCIDENTE
SOROCABA,SDCO,2011-09-04,13:38:00,INCIDENTE
ARAÇATUBA,SBAU,2011-09-06,23:30:00,INCIDENTE
GUARULHOS,SBGR,2011-09-20,11:30:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2011-09-22,09:13:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2011-09-24,09:10:00,INCIDENTE
GUARULHOS,SBGR,2011-09-27,22:16:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2011-10-03,14:59:00,INCIDENTE
BEBEDOURO,SDBB,2011-10-03,20:00:00,INCIDENTE
PIRACICABA,SDPW,2011-10-11,18:10:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2011-10-13,20:17:00,INCIDENTE
SÃO PAULO,SBMT,2011-10-14,14:45:00,INCIDENTE
SÃO PAULO,SBSP,2011-10-16,19:22:00,INCIDENTE GRAVE
PIRACICABA,SDPW,2011-10-23,12:30:00,INCIDENTE
PIQUETE,Unkown,2011-10-25,20:35:00,INCIDENTE
BURITAMA,SIBX,2011-10-25,19:15:00,INCIDENTE
SOROCABA,SDCO,2011-10-25,14:40:00,INCIDENTE
GUARULHOS,SBGR,2011-10-27,14:31:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2011-10-28,15:20:00,INCIDENTE
ARAÇATUBA,SBAU,2011-11-08,21:30:00,INCIDENTE
GUARULHOS,Unkown,2011-11-23,18:32:00,INCIDENTE
ATIBAIA,SDTB,2011-11-24,12:40:00,INCIDENTE GRAVE
SÃO PAULO,SBMT,2011-11-25,11:35:00,INCIDENTE
GUARULHOS,SBGR,2011-12-03,01:30:00,INCIDENTE
GUARULHOS,SBGR,2011-12-10,17:38:00,INCIDENTE
CAMPINAS,Unkown,2011-12-11,14:13:00,INCIDENTE
GUARULHOS,SBGR,2011-12-13,19:59:00,INCIDENTE
SÃO PAULO,Unkown,2011-12-17,14:00:00,INCIDENTE
