codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes
53508,53508,INCIDENTE,FOZ DO IGUAÇU,PR,SBFI,2015-09-30,18:38:00,0
53532,53532,INCIDENTE,GOIÂNIA,GO,SBGO,2015-09-30,11:55:00,0
53492,53492,INCIDENTE,BELÉM,PA,SBBE,2015-10-01,18:30:00,0
53509,53509,INCIDENTE,CAMPINAS,SP,SBKP,2015-10-01,21:25:00,0
53510,53510,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,2015-10-01,19:30:00,0
53513,53513,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,2015-10-01,01:48:00,0
53511,53511,INCIDENTE,MANAUS,AM,SWFN,2015-10-03,16:02:00,0
53512,53512,INCIDENTE,BRASÍLIA,DF,SBBR,2015-10-03,14:10:00,0
53493,53493,INCIDENTE,BRASÍLIA,DF,SBBR,2015-10-05,14:15:00,0
53497,53497,ACIDENTE,CORUMBÁ,MS,Unkown,2015-10-06,12:00:00,0
53501,53501,ACIDENTE,CATAS ALTAS,MG,Unkown,2015-10-06,14:33:00,0
53504,53504,INCIDENTE,GOIÂNIA,GO,SBGO,2015-10-07,10:54:00,0
53505,53505,INCIDENTE,GOIÂNIA,GO,SBGO,2015-10-07,11:56:00,0
53499,53499,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,SBJR,2015-10-08,16:22:00,0
53502,53502,INCIDENTE,BRASÍLIA,DF,SBBR,2015-10-08,11:20:00,0
53516,53516,INCIDENTE,FEIRA DE SANTANA,BA,SNJD,2015-10-08,18:05:00,0
53500,53500,ACIDENTE,VERA CRUZ,SP,Unkown,2015-10-11,19:35:00,0
53514,53514,INCIDENTE,JUNDIAÍ,SP,SBJD,2015-10-11,18:20:00,0
53515,53515,INCIDENTE,SÃO PAULO,SP,SBMT,2015-10-14,11:50:00,0
53518,53518,INCIDENTE,CAMPO GRANDE,MS,SBCG,2015-10-14,11:47:00,0
53520,53520,INCIDENTE,LONDRINA,PR,SBLO,2015-10-14,04:25:00,0
53517,53517,INCIDENTE,FORTALEZA,CE,SBFZ,2015-10-17,19:36:00,0
53519,53519,INCIDENTE GRAVE,GUARATINGUETÁ,SP,SBGW,2015-10-18,15:30:00,0
53557,53557,ACIDENTE,GUARANÉSIA,MG,Unkown,2015-10-18,20:30:00,0
53543,53543,ACIDENTE,JARDIM,MS,SSJI,2015-10-21,14:30:00,0
60639,60639,INCIDENTE,CURITIBA,PR,SBCT,2015-10-21,18:30:00,0
53524,53524,INCIDENTE,GUARULHOS,SP,SBGR,2015-10-22,16:52:00,0
53546,53546,ACIDENTE,RONDONÓPOLIS,MT,SDWC,2015-10-22,11:30:00,0
53545,53545,INCIDENTE GRAVE,PORTO VELHO,RO,SBPV,2015-10-23,20:00:00,1
53533,53533,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,2015-10-24,12:36:00,0
53547,53547,ACIDENTE,GUARANI,MG,Unkown,2015-10-25,19:30:00,0
53590,53590,INCIDENTE,PORTO ALEGRE,RS,SBPA,2015-10-28,15:05:00,0
53534,53534,INCIDENTE,GOIÂNIA,GO,SBGO,2015-10-29,14:25:00,0
53591,53591,INCIDENTE,GUARULHOS,SP,SBGR,2015-10-29,01:40:00,0
53579,53579,ACIDENTE,VILHENA,RO,SBVH,2015-10-30,12:30:00,0
53561,53561,ACIDENTE,SALVADOR,BA,Unkown,2015-10-31,18:50:00,0
53585,53585,INCIDENTE,BELO HORIZONTE,MG,SBBH,2015-10-31,10:24:00,0
53578,53578,ACIDENTE,PORTO VELHO,RO,SWRO,2015-11-01,21:30:00,0
53556,53556,ACIDENTE,MIRASSOL,SP,SDMH,2015-11-02,09:30:00,0
53586,53586,INCIDENTE,SÃO PAULO,SP,SBSP,2015-11-02,18:35:00,0
53587,53587,INCIDENTE,SÃO LUÍS,MA,SBSL,2015-11-03,17:20:00,0
53551,53551,INCIDENTE GRAVE,BRAGANÇA PAULISTA,SP,SBBP,2015-11-05,19:15:00,1
53640,53640,INCIDENTE,COCALINHO,MT,Unkown,2015-11-05,10:30:00,0
53552,53552,INCIDENTE GRAVE,TEFÉ,AM,SBTF,2015-11-06,15:04:00,4
53581,53581,INCIDENTE GRAVE,CASCAVEL,PR,SBCA,2015-11-06,18:50:00,0
53584,53584,INCIDENTE,SÃO PAULO,SP,SBSP,2015-11-06,18:20:00,0
53589,53589,INCIDENTE,PORTO ALEGRE,RS,SBPA,2015-11-06,19:33:00,0
53611,53611,INCIDENTE,VÁRZEA GRANDE,MT,SBCY,2015-11-06,03:27:00,0
53562,53562,ACIDENTE,JAGUARÃO,RS,Unkown,2015-11-08,10:45:00,0
53563,53563,INCIDENTE GRAVE,TAIPU,RN,Unkown,2015-11-09,20:00:00,0
53564,53564,ACIDENTE,BALSAS,MA,SNBS,2015-11-09,19:30:00,1
53566,53566,ACIDENTE,LENÇÓIS PAULISTA,SP,Unkown,2015-11-09,19:30:00,0
53559,53559,ACIDENTE,GUARDA-MOR,MG,Unkown,2015-11-10,21:04:00,0
53580,53580,ACIDENTE,ARAPONGAS,PR,SSOG,2015-11-10,12:00:00,0
53565,53565,ACIDENTE,SIRINHAÉM,PE,Unkown,2015-11-11,17:55:00,2
53569,53569,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,2015-11-11,17:00:00,0
53601,53601,ACIDENTE,PARANATINGA,MT,Unkown,2015-11-13,14:00:00,0
53567,53567,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,SBJR,2015-11-16,18:37:00,0
53568,53568,INCIDENTE GRAVE,MANAUS,AM,SWFN,2015-11-17,17:55:00,1
53572,53572,ACIDENTE,MIRACATU,SP,Unkown,2015-11-17,15:55:00,1
53571,53571,ACIDENTE,GARIBALDI,RS,SSGA,2015-11-21,19:30:00,2
53603,53603,INCIDENTE,BRASÍLIA,DF,SBBR,2015-11-24,17:08:00,0
53633,53633,INCIDENTE,SÃO JOSÉ DO RIO PRETO,SP,SBSR,2015-11-24,20:31:00,0
53582,53582,INCIDENTE,PORTO ALEGRE,RS,SBPA,2015-11-25,14:30:00,0
53583,53583,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,2015-11-25,10:32:00,0
53602,53602,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,2015-11-25,15:25:00,0
53570,53570,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,2015-11-27,11:50:00,0
53574,53574,ACIDENTE,JUNDIAÍ,SP,Unkown,2015-11-27,13:05:00,1
53577,53577,ACIDENTE,PLANALTO DA SERRA,MT,Unkown,2015-11-27,16:00:00,0
53576,53576,ACIDENTE,SÃO VICENTE DO SUL,RS,Unkown,2015-11-29,20:30:00,0
53637,53637,INCIDENTE,SÃO PAULO,SP,SBMT,2015-11-29,11:10:00,0
53638,53638,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,2015-11-29,23:08:00,0
53635,53635,INCIDENTE,GOIÂNIA,GO,SBGO,2015-11-30,12:22:00,0
53573,53573,INCIDENTE,GUARULHOS,SP,SBGR,2015-12-01,02:48:00,0
60601,60601,INCIDENTE,PALMAS,TO,SBPJ,2015-12-01,16:05:00,0
53634,53634,INCIDENTE,PALMAS,TO,SBPJ,2015-12-02,17:45:00,0
53636,53636,INCIDENTE,JUNDIAÍ,SP,SBJD,2015-12-02,17:42:00,0
53575,53575,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,SBFS,2015-12-03,10:50:00,0
60637,60637,INCIDENTE,BELO HORIZONTE,MG,SBBH,2015-12-03,16:47:00,0
53625,53625,ACIDENTE,TRINDADE,GO,Unkown,2015-12-06,13:10:00,3
53626,53626,ACIDENTE,AMERICANA,SP,SDAI,2015-12-06,15:00:00,1
53628,53628,ACIDENTE,AGUAÍ,SP,Unkown,2015-12-08,14:30:00,1
53629,53629,ACIDENTE,JALES,SP,SDJL,2015-12-08,10:20:00,0
53631,53631,INCIDENTE,CAMPINAS,SP,SBKP,2015-12-08,16:19:00,0
60636,60636,INCIDENTE,CAXIAS DO SUL,RS,SBCX,2015-12-08,13:00:00,0
53627,53627,INCIDENTE,TERESINA,PI,SBTE,2015-12-12,19:05:00,0
60604,60604,INCIDENTE,GOIÂNIA,GO,SBGO,2015-12-12,14:34:00,0
60611,60611,INCIDENTE,SÃO PAULO,SP,SBSP,2015-12-12,15:30:00,0
60613,60613,ACIDENTE,JUSCIMEIRA,MT,SWMO,2015-12-12,08:31:00,0
60629,60629,ACIDENTE,RIO GRANDE,RS,Unkown,2015-12-12,10:40:00,0
53630,53630,INCIDENTE,MARÍLIA,SP,SBML,2015-12-13,13:50:00,0
60603,60603,INCIDENTE,LONDRINA,PR,SBLO,2015-12-13,17:46:00,0
60612,60612,ACIDENTE,BENTO GONÇALVES,RS,SSBG,2015-12-13,20:30:00,0
60783,60783,ACIDENTE,LAGES,SC,Unkown,2015-12-13,14:00:00,3
53639,53639,INCIDENTE,LOUVEIRA,SP,SDAM,2015-12-15,14:20:00,0
60609,60609,INCIDENTE GRAVE,ARAGUAÍNA,TO,SWGN,2015-12-15,13:00:00,0
60616,60616,ACIDENTE,PALOTINA,PR,Unkown,2015-12-15,20:30:00,0
60620,60620,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2015-12-15,16:50:00,4
60645,60645,ACIDENTE,SERTÃOZINHO,SP,Unkown,2015-12-15,13:00:00,0
60608,60608,INCIDENTE,BELO HORIZONTE,MG,SBPR,2015-12-16,10:38:00,0
60625,60625,ACIDENTE,ITÁPOLIS,SP,SDIO,2015-12-17,21:30:00,1
60605,60605,INCIDENTE,UBERLÂNDIA,MG,SBUL,2015-12-18,10:25:00,0
60610,60610,INCIDENTE,JUNDIAÍ,SP,SBJD,2015-12-18,18:45:00,0
60602,60602,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,2015-12-22,06:27:00,0
60615,60615,INCIDENTE,SÃO PAULO,SP,SBMT,2015-12-22,13:07:00,0
60640,60640,INCIDENTE,CASCAVEL,PR,SBCA,2015-12-23,13:20:00,0
60641,60641,INCIDENTE,BELO HORIZONTE,MG,SBBH,2015-12-23,15:53:00,0
60632,60632,INCIDENTE GRAVE,ITABERÁ,SP,Unkown,2015-12-24,14:00:00,0
60600,60600,INCIDENTE,GUARULHOS,SP,SBGR,2015-12-25,19:00:00,0
60642,60642,INCIDENTE,SÃO FRANCISCO DO SUL,SC,SSSS,2015-12-26,16:00:00,0
60631,60631,ACIDENTE,MAÇAMBARÁ,RS,Unkown,2015-12-28,19:00:00,2
60649,60649,ACIDENTE,PORTO BELO,SC,SDEN,2015-12-31,14:00:00,0
